"Mean","Median","Sheet","Column","Column_Num"
4.66666666666667,5,"DARWIN-GPT-LTM","Q1 human Likert scale",4
4.2,5,"DARWIN-GPT-LTM","Q2 human Likert scale",9
3.5,4,"DARWIN-GPT-LTM","Q3 human Likert scale",14
4.13333333333333,4,"DARWIN-GPT-LTM","Q4 human Likert scale",19
4,4,"DARWIN-GPT-LTM","Q5 human Likert scale",24
3.86666666666667,4,"DARWIN-GPT-LTM","Q6 human Likert scale",29
3.53333333333333,4,"DARWIN-GPT-LTM","Q7 human Likert scale",34
3.92857142857143,4,"DARWIN-GPT-LTM","Q8 human Likert scale",39
3.4,3,"DARWIN-GPT-LTM","Q9 human Likert scale",44
4.75,5,"DARWIN-GPT-ACT","Q1 human Likert scale",4
4.0625,4,"DARWIN-GPT-ACT","Q2 human Likert scale",9
4.42857142857143,4,"DARWIN-GPT-ACT","Q3 human Likert scale",14
3.85714285714286,4,"DARWIN-GPT-ACT","Q4 human Likert scale",18
4.07692307692308,4,"DARWIN-GPT-ACT","Q5 human Likert scale",22
3.8,4,"DARWIN-GPT-ACT","Q6 human Likert scale",27
3.5,4,"DARWIN-GPT-ACT","Q7 human Likert scale",31
3.875,4,"DARWIN-GPT-ACT","Q8 human Likert scale",36
4.57142857142857,5,"DARWIN-GPT-ACT","Q9 human Likert scale",41
5,5,"DARWIN-Deepseek-LTM","Q1 human Likert scale",4
4.92857142857143,5,"DARWIN-Deepseek-LTM","Q2 human Likert scale",9
NA,NA,"DARWIN-Deepseek-LTM","Q3 human Likert scale",14
4.69230769230769,5,"DARWIN-Deepseek-LTM","Q4 human Likert scale",18
5,5,"DARWIN-Deepseek-LTM","Q5 human Likert scale",22
NA,NA,"DARWIN-Deepseek-LTM","Q6 human Likert scale",27
NA,NA,"DARWIN-Deepseek-LTM","Q7 human Likert scale",31
NA,NA,"DARWIN-Deepseek-LTM","Q8 human Likert scale",36
NA,NA,"DARWIN-Deepseek-LTM","Q9 human Likert scale",41
NA,NA,"DARWIN-Irath-LTM","Q1 human Likert scale",4
NA,NA,"DARWIN-Irath-LTM","Q2 human Likert scale",9
NA,NA,"DARWIN-Irath-LTM","Q3 human Likert scale",14
NA,NA,"DARWIN-Irath-LTM","Q4 human Likert scale",18
NA,NA,"DARWIN-Irath-LTM","Q5 human Likert scale",22
NA,NA,"DARWIN-Irath-LTM","Q6 human Likert scale",27
NA,NA,"DARWIN-Irath-LTM","Q7 human Likert scale",31
NA,NA,"DARWIN-Irath-LTM","Q8 human Likert scale",36
NA,NA,"DARWIN-Irath-LTM","Q9 human Likert scale",41
NA,NA,"DARWIN-Llama-LTM","Q1 human Likert scale",4
NA,NA,"DARWIN-Llama-LTM","Q2 human Likert scale",9
NA,NA,"DARWIN-Llama-LTM","Q3 human Likert scale",14
NA,NA,"DARWIN-Llama-LTM","Q4 human Likert scale",18
NA,NA,"DARWIN-Llama-LTM","Q5 human Likert scale",22
NA,NA,"DARWIN-Llama-LTM","Q6 human Likert scale",27
NA,NA,"DARWIN-Llama-LTM","Q7 human Likert scale",31
NA,NA,"DARWIN-Llama-LTM","Q8 human Likert scale",36
NA,NA,"DARWIN-Llama-LTM","Q9 human Likert scale",41
NA,NA,"sentinel-gpt-ltm","Q1 human Likert scale",4
NA,NA,"sentinel-gpt-ltm","Q2 human Likert scale",9
NA,NA,"sentinel-gpt-ltm","Q3 human Likert scale",14
NA,NA,"sentinel-gpt-ltm","Q4 human Likert scale",18
NA,NA,"sentinel-gpt-ltm","Q5 human Likert scale",22
NA,NA,"sentinel-gpt-ltm","Q6 human Likert scale",27
NA,NA,"sentinel-gpt-ltm","Q7 human Likert scale",31
NA,NA,"sentinel-gpt-ltm","Q8 human Likert scale",36
NA,NA,"sentinel-gpt-ltm","Q9 human Likert scale",41
4.85714285714286,5,"sentinel-gpt-act","Q1 human Likert scale",4
5,5,"sentinel-gpt-act","Q2 human Likert scale",9
4.06666666666667,4,"sentinel-gpt-act","Q3 human Likert scale",14
4.30769230769231,4,"sentinel-gpt-act","Q4 human Likert scale",18
4.92857142857143,5,"sentinel-gpt-act","Q5 human Likert scale",22
4.33333333333333,5,"sentinel-gpt-act","Q6 human Likert scale",27
4.13333333333333,4,"sentinel-gpt-act","Q7 human Likert scale",31
4.42857142857143,4.5,"sentinel-gpt-act","Q8 human Likert scale",36
4.4,5,"sentinel-gpt-act","Q9 human Likert scale",41
4.86666666666667,5,"sentinel-deepseek-ltm","Q1 human Likert scale",4
4.73333333333333,5,"sentinel-deepseek-ltm","Q2 human Likert scale",9
4.46666666666667,5,"sentinel-deepseek-ltm","Q3 human Likert scale",14
4.81818181818182,5,"sentinel-deepseek-ltm","Q4 human Likert scale",18
4.23076923076923,4,"sentinel-deepseek-ltm","Q5 human Likert scale",22
4.66666666666667,5,"sentinel-deepseek-ltm","Q6 human Likert scale",27
4.73333333333333,5,"sentinel-deepseek-ltm","Q7 human Likert scale",31
4.66666666666667,5,"sentinel-deepseek-ltm","Q8 human Likert scale",36
4.3,4,"sentinel-deepseek-ltm","Q9 human Likert scale",41
2.33333333333333,2,"sentinel-irath-ltm","Q1 human Likert scale",4
1,1,"sentinel-irath-ltm","Q2 human Likert scale",9
1,1,"sentinel-irath-ltm","Q3 human Likert scale",14
2,2,"sentinel-irath-ltm","Q4 human Likert scale",19
3.71428571428571,3,"sentinel-irath-ltm","Q5 human Likert scale",24
2,2,"sentinel-irath-ltm","Q6 human Likert scale",29
2.25,2.5,"sentinel-irath-ltm","Q7 human Likert scale",33
2,2,"sentinel-irath-ltm","Q8 human Likert scale",38
NA,NA,"sentinel-irath-ltm","Q9 human Likert scale",43
4.69230769230769,5,"sentinel-llama-ltm","Q1 human Likert scale",4
2.5,2.5,"sentinel-llama-ltm","Q2 human Likert scale",9
NA,NA,"sentinel-llama-ltm","Q3 human Likert scale",14
4.33333333333333,4.5,"sentinel-llama-ltm","Q4 human Likert scale",19
3.57142857142857,4,"sentinel-llama-ltm","Q5 human Likert scale",24
4.25,4,"sentinel-llama-ltm","Q6 human Likert scale",29
3.71428571428571,4,"sentinel-llama-ltm","Q7 human Likert scale",33
4,4,"sentinel-llama-ltm","Q8 human Likert scale",38
NA,NA,"sentinel-llama-ltm","Q9 human Likert scale",43
5,5,"hma-gpt-ltm","Q1 human Likert scale",4
5,5,"hma-gpt-ltm","Q2 human Likert scale",9
4.78571428571429,5,"hma-gpt-ltm","Q3 human Likert scale",14
5,5,"hma-gpt-ltm","Q4 human Likert scale",19
5,5,"hma-gpt-ltm","Q5 human Likert scale",24
5,5,"hma-gpt-ltm","Q6 human Likert scale",29
5,5,"hma-gpt-ltm","Q7 human Likert scale",33
5,5,"hma-gpt-ltm","Q8 human Likert scale",38
NA,NA,"hma-gpt-ltm","Q9 human Likert scale",43
5,5,"hma-gpt-act","Q1 human Likert scale",4
5,5,"hma-gpt-act","Q2 human Likert scale",9
5,5,"hma-gpt-act","Q3 human Likert scale",14
5,5,"hma-gpt-act","Q4 human Likert scale",19
5,5,"hma-gpt-act","Q5 human Likert scale",24
5,5,"hma-gpt-act","Q6 human Likert scale",29
5,5,"hma-gpt-act","Q7 human Likert scale",33
5,5,"hma-gpt-act","Q8 human Likert scale",38
NA,NA,"hma-gpt-act","Q9 human Likert scale",43
5,5,"hma-deepseek-ltm","Q1 human Likert scale",4
5,5,"hma-deepseek-ltm","Q2 human Likert scale",9
5,5,"hma-deepseek-ltm","Q3 human Likert scale",14
5,5,"hma-deepseek-ltm","Q4 human Likert scale",19
5,5,"hma-deepseek-ltm","Q5 human Likert scale",24
5,5,"hma-deepseek-ltm","Q6 human Likert scale",29
5,5,"hma-deepseek-ltm","Q7 human Likert scale",33
5,5,"hma-deepseek-ltm","Q8 human Likert scale",38
NA,NA,"hma-deepseek-ltm","Q9 human Likert scale",43
NA,NA,"hma-irath-ltm","Q1 human Likert scale",4
NA,NA,"hma-irath-ltm","Q2 human Likert scale",9
NA,NA,"hma-irath-ltm","Q3 human Likert scale",14
NA,NA,"hma-irath-ltm","Q4 human Likert scale",19
NA,NA,"hma-irath-ltm","Q5 human Likert scale",24
NA,NA,"hma-irath-ltm","Q6 human Likert scale",29
4,4.5,"hma-irath-ltm","Q7 human Likert scale",33
4.83333333333333,5,"hma-irath-ltm","Q8 human Likert scale",38
NA,NA,"hma-irath-ltm","Q9 human Likert scale",43
4.71428571428571,5,"hma-llama-ltm","Q1 human Likert scale",4
4.875,5,"hma-llama-ltm","Q2 human Likert scale",9
5,5,"hma-llama-ltm","Q3 human Likert scale",14
5,5,"hma-llama-ltm","Q4 human Likert scale",19
5,5,"hma-llama-ltm","Q5 human Likert scale",24
5,5,"hma-llama-ltm","Q6 human Likert scale",29
3.83333333333333,4,"hma-llama-ltm","Q7 human Likert scale",33
5,5,"hma-llama-ltm","Q8 human Likert scale",38
NA,NA,"hma-llama-ltm","Q9 human Likert scale",43
