source,protocol,release_date,date_source
darwin,DARWIN_1,2021-02,HMA-EMA catalogue export
darwin,DARWIN_10,2023-07,HMA-EMA catalogue export
darwin,DARWIN_11,2023-07,HMA-EMA catalogue export
darwin,DARWIN_12,2023-01,HMA-EMA catalogue export
darwin,DARWIN_13,2023-02,HMA-EMA catalogue export
darwin,DARWIN_14,2021-02,HMA-EMA catalogue export
darwin,DARWIN_15,2024-07,HMA-EMA catalogue export
darwin,DARWIN_16,2023-07,HMA-EMA catalogue export
darwin,DARWIN_2,2023-01,HMA-EMA catalogue export
darwin,DARWIN_3,2023-03,HMA-EMA catalogue export
darwin,DARWIN_4,2023-11,HMA-EMA catalogue export
darwin,DARWIN_5,2023-08,HMA-EMA catalogue export
darwin,DARWIN_6,2023-10,HMA-EMA catalogue export
darwin,DARWIN_7,2023-09,HMA-EMA catalogue export
darwin,DARWIN_8,2023-10,HMA-EMA catalogue export
darwin,DARWIN_9,2023-10,HMA-EMA catalogue export
hma-ema,HMA-EMA_1,2023-10,HMA-EMA catalogue export
hma-ema,HMA-EMA_10,2023-01,HMA-EMA catalogue export
hma-ema,HMA-EMA_11,2023-05,HMA-EMA catalogue export
hma-ema,HMA-EMA_12,2023-06,HMA-EMA catalogue export
hma-ema,HMA-EMA_13,2023-06,HMA-EMA catalogue export
hma-ema,HMA-EMA_14,2023-05,HMA-EMA catalogue export
hma-ema,HMA-EMA_15,2023-06,HMA-EMA catalogue export
hma-ema,HMA-EMA_2,2023-09,HMA-EMA catalogue export
hma-ema,HMA-EMA_3,2023-01,HMA-EMA catalogue export
hma-ema,HMA-EMA_4,2023-06,HMA-EMA catalogue export
hma-ema,HMA-EMA_5,2023-06,HMA-EMA catalogue export
hma-ema,HMA-EMA_6,2023-10,HMA-EMA catalogue export
hma-ema,HMA-EMA_7,2023-01,HMA-EMA catalogue export
hma-ema,HMA-EMA_8,2023-01,HMA-EMA catalogue export
hma-ema,HMA-EMA_9,2023-07,HMA-EMA catalogue export
sentinel,SENTINEL_1,2021-12,Sentinel Initiative catalogue
sentinel,SENTINEL_10,2024-04,Sentinel Initiative catalogue
sentinel,SENTINEL_11,2024-11,Sentinel Initiative catalogue
sentinel,SENTINEL_12,2018-08,Sentinel Initiative catalogue
sentinel,SENTINEL_13,2024-03,Sentinel Initiative catalogue
sentinel,SENTINEL_14,2020-09,Sentinel Initiative catalogue
sentinel,SENTINEL_15,2019-10,Sentinel Initiative catalogue
sentinel,SENTINEL_2,2020-01,Sentinel Initiative catalogue
sentinel,SENTINEL_3,2019-03,Sentinel Initiative catalogue
sentinel,SENTINEL_4,2020-09,Sentinel Initiative catalogue
sentinel,SENTINEL_5,2022-06,Sentinel Initiative catalogue
sentinel,SENTINEL_6,2023-05,Sentinel Initiative catalogue
sentinel,SENTINEL_7,2020-02,Sentinel Initiative catalogue
sentinel,SENTINEL_8,2022-08,Sentinel Initiative catalogue
sentinel,SENTINEL_9,2022-03,Sentinel Initiative catalogue
